,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations,,Value,,,,,,,,,NmrRecommendations,Precision,Recall,,NmrNeighbors,Precision,Recall,,NmrRecommendations,NmrNeighbors,Zeroed,,,NmrNeighbors,NmrRecommendations
50,0.16,0.01,792,4,1,,,,,,,,,,,1,0.16,0.01,,4,0.16,0.01,,1,4,792,,50,4,1
51,0.14,0.02,619,4,3,,,,,,,,,,,3,0.14,0.02,,4,0.14,0.02,,3,4,619,,51,4,3
52,0.14,0.03,507,4,5,,,,,,,,,,,5,0.14,0.03,,4,0.14,0.03,,5,4,507,,52,4,5
53,0.13,0.03,450,4,7,,,,,,,,,,,7,0.13,0.03,,4,0.13,0.03,,7,4,450,,53,4,7
54,0.13,0.04,397,4,9,,,,,,,,,,,9,0.13,0.04,,4,0.13,0.04,,9,4,397,,54,4,9
55,0.12,0.04,379,4,11,,,,,,,,,,,11,0.12,0.04,,4,0.12,0.04,,11,4,379,,55,4,11
56,0.11,0.05,339,4,13,,,,,,,,,,,13,0.11,0.05,,4,0.11,0.05,,13,4,339,,56,4,13
57,0.11,0.06,316,4,15,,,,,,,,,,,15,0.11,0.06,,4,0.11,0.06,,15,4,316,,57,4,15
58,0.11,0.06,288,4,17,,,,,,,,,,,17,0.11,0.06,,4,0.11,0.06,,17,4,288,,58,4,17
59,0.11,0.07,259,4,19,,,,,,,,,,,19,0.11,0.07,,4,0.11,0.07,,19,4,259,,59,4,19
60,0.11,0.08,243,4,21,,,,,,,,,,,21,0.11,0.08,,4,0.11,0.08,,21,4,243,,60,4,21
61,0.1,0.08,229,4,23,,,,,,,,,,,23,0.1,0.08,,4,0.1,0.08,,23,4,229,,61,4,23
62,0.1,0.09,216,4,25,,,,,,,,,,,25,0.1,0.09,,4,0.1,0.09,,25,4,216,,62,4,25
63,0.1,0.09,203,4,27,,,,,,,,,,,27,0.1,0.09,,4,0.1,0.09,,27,4,203,,63,4,27
64,0.1,0.1,187,4,29,,,,,,,,,,,29,0.1,0.1,,4,0.1,0.1,,29,4,187,,64,4,29
65,0.1,0.1,178,4,31,,,,,,,,,,,31,0.1,0.1,,4,0.1,0.1,,31,4,178,,65,4,31
66,0.1,0.11,165,4,33,,,,,,,,,,,33,0.1,0.11,,4,0.1,0.11,,33,4,165,,66,4,33
67,0.1,0.11,154,4,35,,,,,,,,,,,35,0.1,0.11,,4,0.1,0.11,,35,4,154,,67,4,35
68,0.1,0.12,147,4,37,,,,,,,,,,,37,0.1,0.12,,4,0.1,0.12,,37,4,147,,68,4,37
69,0.1,0.12,143,4,39,,,,,,,,,,,39,0.1,0.12,,4,0.1,0.12,,39,4,143,,69,4,39
70,0.09,0.13,140,4,41,,,,,,,,,,,41,0.09,0.13,,4,0.09,0.13,,41,4,140,,70,4,41
71,0.09,0.13,139,4,43,,,,,,,,,,,43,0.09,0.13,,4,0.09,0.13,,43,4,139,,71,4,43
72,0.09,0.13,139,4,45,,,,,,,,,,,45,0.09,0.13,,4,0.09,0.13,,45,4,139,,72,4,45
73,0.09,0.14,134,4,47,,,,,,,,,,,47,0.09,0.14,,4,0.09,0.14,,47,4,134,,73,4,47
74,0.09,0.14,134,4,49,,,,,,,,,,,49,0.09,0.14,,4,0.09,0.14,,49,4,134,,74,4,49
75,0.09,0.15,125,4,51,,,,,,,,,,,51,0.09,0.15,,4,0.09,0.15,,51,4,125,,75,4,51
76,0.09,0.15,124,4,53,,,,,,,,,,,53,0.09,0.15,,4,0.09,0.15,,53,4,124,,76,4,53
77,0.09,0.15,125,4,55,,,,,,,,,,,55,0.09,0.15,,4,0.09,0.15,,55,4,125,,77,4,55
78,0.09,0.16,120,4,57,,,,,,,,,,,57,0.09,0.16,,4,0.09,0.16,,57,4,120,,78,4,57
79,0.09,0.16,125,4,59,,,,,,,,,,,59,0.09,0.16,,4,0.09,0.16,,59,4,125,,79,4,59
80,0.09,0.16,121,4,61,,,,,,,,,,,61,0.09,0.16,,4,0.09,0.16,,61,4,121,,80,4,61
81,0.09,0.17,117,4,63,,,,,,,,,,,63,0.09,0.17,,4,0.09,0.17,,63,4,117,,81,4,63
82,0.09,0.17,115,4,65,,,,,,,,,,,65,0.09,0.17,,4,0.09,0.17,,65,4,115,,82,4,65
83,0.09,0.17,109,4,67,,,,,,,,,,,67,0.09,0.17,,4,0.09,0.17,,67,4,109,,83,4,67
84,0.09,0.18,109,4,69,,,,,,,,,,,69,0.09,0.18,,4,0.09,0.18,,69,4,109,,84,4,69
85,0.09,0.18,101,4,71,,,,,,,,,,,71,0.09,0.18,,4,0.09,0.18,,71,4,101,,85,4,71
86,0.09,0.18,103,4,73,,,,,,,,,,,73,0.09,0.18,,4,0.09,0.18,,73,4,103,,86,4,73
87,0.09,0.18,100,4,75,,,,,,,,,,,75,0.09,0.18,,4,0.09,0.18,,75,4,100,,87,4,75
88,0.09,0.19,102,4,77,,,,,,,,,,,77,0.09,0.19,,4,0.09,0.19,,77,4,102,,88,4,77
89,0.09,0.19,100,4,79,,,,,,,,,,,79,0.09,0.19,,4,0.09,0.19,,79,4,100,,89,4,79
90,0.08,0.19,101,4,81,,,,,,,,,,,81,0.08,0.19,,4,0.08,0.19,,81,4,101,,90,4,81
91,0.08,0.2,102,4,83,,,,,,,,,,,83,0.08,0.2,,4,0.08,0.2,,83,4,102,,91,4,83
92,0.09,0.2,100,4,85,,,,,,,,,,,85,0.09,0.2,,4,0.09,0.2,,85,4,100,,92,4,85
93,0.08,0.2,93,4,87,,,,,,,,,,,87,0.08,0.2,,4,0.08,0.2,,87,4,93,,93,4,87
94,0.09,0.2,96,4,89,,,,,,,,,,,89,0.09,0.2,,4,0.09,0.2,,89,4,96,,94,4,89
95,0.08,0.2,91,4,91,,,,,,,,,,,91,0.08,0.2,,4,0.08,0.2,,91,4,91,,95,4,91
96,0.09,0.2,92,4,93,,,,,,,,,,,93,0.09,0.2,,4,0.09,0.2,,93,4,92,,96,4,93
97,0.09,0.21,89,4,95,,,,,,,,,,,95,0.09,0.21,,4,0.09,0.21,,95,4,89,,97,4,95
98,0.09,0.21,82,4,97,,,,,,,,,,,97,0.09,0.21,,4,0.09,0.21,,97,4,82,,98,4,97
99,0.08,0.21,85,4,99,,,,,,,,,,,99,0.08,0.21,,4,0.08,0.21,,99,4,85,,99,4,99
100,0.18,0.01,771,6,1,,,,,,,,,,,1,0.18,0.01,,6,0.18,0.01,,1,6,771,,100,6,1
101,0.18,0.02,562,6,3,,,,,,,,,,,3,0.18,0.02,,6,0.18,0.02,,3,6,562,,101,6,3
102,0.16,0.03,467,6,5,,,,,,,,,,,5,0.16,0.03,,6,0.16,0.03,,5,6,467,,102,6,5
103,0.15,0.04,407,6,7,,,,,,,,,,,7,0.15,0.04,,6,0.15,0.04,,7,6,407,,103,6,7
104,0.14,0.04,367,6,9,,,,,,,,,,,9,0.14,0.04,,6,0.14,0.04,,9,6,367,,104,6,9
105,0.14,0.05,321,6,11,,,,,,,,,,,11,0.14,0.05,,6,0.14,0.05,,11,6,321,,105,6,11
106,0.13,0.06,294,6,13,,,,,,,,,,,13,0.13,0.06,,6,0.13,0.06,,13,6,294,,106,6,13
107,0.13,0.07,268,6,15,,,,,,,,,,,15,0.13,0.07,,6,0.13,0.07,,15,6,268,,107,6,15
108,0.12,0.07,250,6,17,,,,,,,,,,,17,0.12,0.07,,6,0.12,0.07,,17,6,250,,108,6,17
109,0.12,0.08,224,6,19,,,,,,,,,,,19,0.12,0.08,,6,0.12,0.08,,19,6,224,,109,6,19
110,0.12,0.08,210,6,21,,,,,,,,,,,21,0.12,0.08,,6,0.12,0.08,,21,6,210,,110,6,21
111,0.12,0.09,193,6,23,,,,,,,,,,,23,0.12,0.09,,6,0.12,0.09,,23,6,193,,111,6,23
112,0.11,0.1,184,6,25,,,,,,,,,,,25,0.11,0.1,,6,0.11,0.1,,25,6,184,,112,6,25
113,0.11,0.1,179,6,27,,,,,,,,,,,27,0.11,0.1,,6,0.11,0.1,,27,6,179,,113,6,27
114,0.11,0.11,170,6,29,,,,,,,,,,,29,0.11,0.11,,6,0.11,0.11,,29,6,170,,114,6,29
115,0.11,0.11,160,6,31,,,,,,,,,,,31,0.11,0.11,,6,0.11,0.11,,31,6,160,,115,6,31
116,0.11,0.12,151,6,33,,,,,,,,,,,33,0.11,0.12,,6,0.11,0.12,,33,6,151,,116,6,33
117,0.11,0.12,143,6,35,,,,,,,,,,,35,0.11,0.12,,6,0.11,0.12,,35,6,143,,117,6,35
118,0.1,0.13,137,6,37,,,,,,,,,,,37,0.1,0.13,,6,0.1,0.13,,37,6,137,,118,6,37
119,0.1,0.13,134,6,39,,,,,,,,,,,39,0.1,0.13,,6,0.1,0.13,,39,6,134,,119,6,39
120,0.1,0.14,131,6,41,,,,,,,,,,,41,0.1,0.14,,6,0.1,0.14,,41,6,131,,120,6,41
121,0.1,0.14,121,6,43,,,,,,,,,,,43,0.1,0.14,,6,0.1,0.14,,43,6,121,,121,6,43
122,0.1,0.15,113,6,45,,,,,,,,,,,45,0.1,0.15,,6,0.1,0.15,,45,6,113,,122,6,45
123,0.1,0.15,111,6,47,,,,,,,,,,,47,0.1,0.15,,6,0.1,0.15,,47,6,111,,123,6,47
124,0.1,0.16,108,6,49,,,,,,,,,,,49,0.1,0.16,,6,0.1,0.16,,49,6,108,,124,6,49
125,0.1,0.16,101,6,51,,,,,,,,,,,51,0.1,0.16,,6,0.1,0.16,,51,6,101,,125,6,51
126,0.09,0.16,97,6,53,,,,,,,,,,,53,0.09,0.16,,6,0.09,0.16,,53,6,97,,126,6,53
127,0.09,0.17,94,6,55,,,,,,,,,,,55,0.09,0.17,,6,0.09,0.17,,55,6,94,,127,6,55
128,0.09,0.17,89,6,57,,,,,,,,,,,57,0.09,0.17,,6,0.09,0.17,,57,6,89,,128,6,57
129,0.09,0.18,89,6,59,,,,,,,,,,,59,0.09,0.18,,6,0.09,0.18,,59,6,89,,129,6,59
130,0.09,0.18,87,6,61,,,,,,,,,,,61,0.09,0.18,,6,0.09,0.18,,61,6,87,,130,6,61
131,0.09,0.18,83,6,63,,,,,,,,,,,63,0.09,0.18,,6,0.09,0.18,,63,6,83,,131,6,63
132,0.09,0.19,77,6,65,,,,,,,,,,,65,0.09,0.19,,6,0.09,0.19,,65,6,77,,132,6,65
133,0.09,0.19,76,6,67,,,,,,,,,,,67,0.09,0.19,,6,0.09,0.19,,67,6,76,,133,6,67
134,0.09,0.2,71,6,69,,,,,,,,,,,69,0.09,0.2,,6,0.09,0.2,,69,6,71,,134,6,69
135,0.09,0.2,67,6,71,,,,,,,,,,,71,0.09,0.2,,6,0.09,0.2,,71,6,67,,135,6,71
136,0.09,0.2,66,6,73,,,,,,,,,,,73,0.09,0.2,,6,0.09,0.2,,73,6,66,,136,6,73
137,0.09,0.21,64,6,75,,,,,,,,,,,75,0.09,0.21,,6,0.09,0.21,,75,6,64,,137,6,75
138,0.09,0.21,64,6,77,,,,,,,,,,,77,0.09,0.21,,6,0.09,0.21,,77,6,64,,138,6,77
139,0.09,0.22,63,6,79,,,,,,,,,,,79,0.09,0.22,,6,0.09,0.22,,79,6,63,,139,6,79
140,0.08,0.22,63,6,81,,,,,,,,,,,81,0.08,0.22,,6,0.08,0.22,,81,6,63,,140,6,81
141,0.08,0.22,61,6,83,,,,,,,,,,,83,0.08,0.22,,6,0.08,0.22,,83,6,61,,141,6,83
142,0.08,0.23,60,6,85,,,,,,,,,,,85,0.08,0.23,,6,0.08,0.23,,85,6,60,,142,6,85
143,0.08,0.23,57,6,87,,,,,,,,,,,87,0.08,0.23,,6,0.08,0.23,,87,6,57,,143,6,87
144,0.08,0.23,59,6,89,,,,,,,,,,,89,0.08,0.23,,6,0.08,0.23,,89,6,59,,144,6,89
145,0.08,0.24,56,6,91,,,,,,,,,,,91,0.08,0.24,,6,0.08,0.24,,91,6,56,,145,6,91
146,0.08,0.24,58,6,93,,,,,,,,,,,93,0.08,0.24,,6,0.08,0.24,,93,6,58,,146,6,93
147,0.08,0.25,52,6,95,,,,,,,,,,,95,0.08,0.25,,6,0.08,0.25,,95,6,52,,147,6,95
148,0.08,0.25,49,6,97,,,,,,,,,,,97,0.08,0.25,,6,0.08,0.25,,97,6,49,,148,6,97
149,0.08,0.25,50,6,99,,,,,,,,,,,99,0.08,0.25,,6,0.08,0.25,,99,6,50,,149,6,99
