,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
198,0.08,0.26,44,8,97
199,0.08,0.27,44,8,99
200,0.2,0.01,755,10,1
201,0.17,0.02,575,10,3
202,0.17,0.03,452,10,5
203,0.16,0.04,391,10,7
204,0.16,0.05,341,10,9
205,0.15,0.06,300,10,11
206,0.15,0.06,276,10,13
207,0.14,0.07,251,10,15
208,0.14,0.08,231,10,17
209,0.14,0.09,213,10,19
210,0.13,0.09,194,10,21
211,0.13,0.1,181,10,23
212,0.13,0.11,174,10,25
213,0.13,0.12,154,10,27
214,0.13,0.12,146,10,29
215,0.12,0.13,130,10,31
216,0.12,0.13,124,10,33
217,0.12,0.14,116,10,35
218,0.12,0.15,110,10,37
219,0.12,0.15,109,10,39
220,0.11,0.16,105,10,41
221,0.11,0.16,100,10,43
222,0.11,0.16,98,10,45
223,0.11,0.17,95,10,47
224,0.11,0.17,89,10,49
225,0.11,0.18,85,10,51
226,0.11,0.18,80,10,53
227,0.1,0.19,76,10,55
228,0.1,0.2,74,10,57
229,0.1,0.2,68,10,59
230,0.1,0.2,66,10,61
231,0.1,0.21,65,10,63
232,0.1,0.21,64,10,65
233,0.1,0.22,62,10,67
234,0.1,0.22,60,10,69
235,0.1,0.23,57,10,71
236,0.1,0.23,53,10,73
237,0.1,0.23,52,10,75
238,0.09,0.24,51,10,77
239,0.09,0.24,50,10,79
240,0.09,0.25,49,10,81
241,0.09,0.25,47,10,83
242,0.09,0.25,47,10,85
243,0.09,0.26,44,10,87
244,0.09,0.26,41,10,89
245,0.09,0.26,39,10,91
246,0.09,0.27,39,10,93
247,0.09,0.27,36,10,95
248,0.09,0.28,36,10,97
249,0.09,0.28,36,10,99
250,0.21,0.01,740,12,1
251,0.19,0.02,548,12,3
252,0.18,0.03,454,12,5
253,0.17,0.04,384,12,7
254,0.16,0.05,346,12,9
255,0.15,0.06,310,12,11
256,0.15,0.06,277,12,13
257,0.15,0.07,258,12,15
258,0.14,0.08,236,12,17
259,0.14,0.09,223,12,19
260,0.14,0.09,201,12,21
261,0.13,0.1,180,12,23
262,0.13,0.11,169,12,25
263,0.13,0.12,156,12,27
264,0.13,0.12,144,12,29
265,0.13,0.13,132,12,31
266,0.13,0.14,125,12,33
267,0.12,0.14,120,12,35
268,0.12,0.15,114,12,37
269,0.12,0.15,109,12,39
270,0.12,0.16,106,12,41
271,0.12,0.17,101,12,43
272,0.12,0.17,97,12,45
273,0.11,0.18,88,12,47
274,0.11,0.18,84,12,49
275,0.11,0.19,79,12,51
276,0.11,0.19,78,12,53
277,0.11,0.2,73,12,55
278,0.11,0.2,68,12,57
279,0.11,0.21,66,12,59
280,0.11,0.21,66,12,61
281,0.1,0.21,61,12,63
282,0.1,0.22,59,12,65
283,0.1,0.22,58,12,67
