,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
862,0.14,0.12,172,36,25
863,0.14,0.12,167,36,27
864,0.14,0.13,162,36,29
865,0.13,0.13,157,36,31
866,0.13,0.14,153,36,33
867,0.13,0.14,146,36,35
868,0.13,0.15,142,36,37
869,0.12,0.15,134,36,39
870,0.12,0.16,128,36,41
871,0.12,0.16,126,36,43
872,0.12,0.16,124,36,45
873,0.11,0.17,118,36,47
874,0.11,0.17,115,36,49
875,0.11,0.18,112,36,51
876,0.11,0.18,108,36,53
877,0.11,0.19,105,36,55
878,0.11,0.19,104,36,57
879,0.11,0.2,99,36,59
880,0.11,0.2,94,36,61
881,0.11,0.2,94,36,63
882,0.1,0.21,91,36,65
883,0.1,0.21,88,36,67
884,0.1,0.22,82,36,69
885,0.1,0.23,76,36,71
886,0.1,0.23,73,36,73
887,0.1,0.24,72,36,75
888,0.1,0.24,69,36,77
889,0.1,0.25,63,36,79
890,0.1,0.25,59,36,81
891,0.1,0.26,58,36,83
892,0.1,0.27,56,36,85
893,0.1,0.27,51,36,87
894,0.1,0.28,47,36,89
895,0.1,0.28,44,36,91
896,0.1,0.29,44,36,93
897,0.1,0.29,42,36,95
898,0.1,0.3,40,36,97
899,0.1,0.3,38,36,99
900,0.27,0.01,683,38,1
901,0.25,0.03,455,38,3
902,0.23,0.04,353,38,5
903,0.21,0.05,301,38,7
904,0.2,0.06,263,38,9
905,0.19,0.07,246,38,11
906,0.18,0.08,226,38,13
907,0.17,0.09,209,38,15
908,0.16,0.09,196,38,17
909,0.16,0.1,186,38,19
910,0.15,0.11,176,38,21
911,0.15,0.11,170,38,23
912,0.15,0.12,160,38,25
913,0.14,0.12,159,38,27
914,0.14,0.13,151,38,29
915,0.13,0.13,145,38,31
916,0.13,0.14,142,38,33
917,0.13,0.14,140,38,35
918,0.13,0.15,134,38,37
919,0.12,0.15,130,38,39
920,0.12,0.15,127,38,41
921,0.12,0.16,119,38,43
922,0.12,0.16,113,38,45
923,0.11,0.17,109,38,47
924,0.11,0.17,107,38,49
925,0.11,0.18,105,38,51
926,0.11,0.18,100,38,53
927,0.11,0.18,98,38,55
928,0.11,0.19,94,38,57
929,0.11,0.19,91,38,59
930,0.11,0.2,91,38,61
931,0.1,0.2,87,38,63
932,0.1,0.21,86,38,65
933,0.1,0.21,81,38,67
934,0.1,0.22,77,38,69
935,0.1,0.22,75,38,71
936,0.1,0.23,73,38,73
937,0.1,0.23,70,38,75
938,0.1,0.24,66,38,77
939,0.1,0.24,63,38,79
940,0.1,0.25,61,38,81
941,0.1,0.25,54,38,83
942,0.1,0.26,51,38,85
943,0.1,0.27,49,38,87
944,0.1,0.27,47,38,89
945,0.1,0.28,44,38,91
946,0.1,0.28,38,38,93
947,0.1,0.29,38,38,95
948,0.1,0.29,38,38,97
949,0.1,0.3,38,38,99
950,0.28,0.01,674,40,1
951,0.25,0.03,474,40,3
952,0.22,0.04,384,40,5
953,0.21,0.05,321,40,7
954,0.19,0.06,288,40,9
955,0.18,0.07,266,40,11
956,0.17,0.07,244,40,13
957,0.17,0.08,225,40,15
958,0.16,0.09,207,40,17
959,0.16,0.1,198,40,19
960,0.15,0.1,190,40,21
961,0.15,0.11,181,40,23
962,0.14,0.11,172,40,25
963,0.14,0.12,164,40,27
964,0.14,0.12,157,40,29
965,0.13,0.13,156,40,31
966,0.13,0.13,152,40,33
967,0.13,0.14,148,40,35
968,0.12,0.14,147,40,37
969,0.12,0.15,142,40,39
970,0.12,0.15,136,40,41
971,0.12,0.15,131,40,43
972,0.12,0.16,125,40,45
973,0.11,0.16,117,40,47
974,0.11,0.17,115,40,49
975,0.11,0.17,108,40,51
976,0.11,0.17,107,40,53
977,0.11,0.18,106,40,55
978,0.11,0.18,101,40,57
979,0.1,0.19,97,40,59
980,0.1,0.19,92,40,61
981,0.1,0.19,91,40,63
982,0.1,0.2,89,40,65
983,0.1,0.2,87,40,67
984,0.1,0.21,85,40,69
985,0.1,0.21,83,40,71
986,0.1,0.22,81,40,73
987,0.1,0.22,74,40,75
988,0.1,0.23,71,40,77
989,0.1,0.23,68,40,79
990,0.1,0.24,66,40,81
991,0.1,0.24,62,40,83
992,0.1,0.25,59,40,85
993,0.1,0.26,56,40,87
994,0.1,0.26,53,40,89
995,0.1,0.27,51,40,91
996,0.1,0.27,50,40,93
997,0.1,0.28,47,40,95
998,0.1,0.29,43,40,97
999,0.1,0.29,40,40,99
1000,0.3,0.01,659,42,1
1001,0.26,0.03,453,42,3
1002,0.23,0.04,355,42,5
1003,0.21,0.05,310,42,7
1004,0.2,0.06,278,42,9
1005,0.19,0.07,243,42,11
1006,0.18,0.08,224,42,13
1007,0.17,0.08,208,42,15
1008,0.16,0.09,196,42,17
1009,0.16,0.1,186,42,19
1010,0.15,0.1,175,42,21
1011,0.15,0.11,166,42,23
1012,0.15,0.12,156,42,25
1013,0.14,0.12,147,42,27
1014,0.14,0.13,139,42,29
1015,0.13,0.13,132,42,31
1016,0.13,0.14,129,42,33
1017,0.13,0.14,126,42,35
1018,0.13,0.15,124,42,37
1019,0.12,0.15,123,42,39
1020,0.12,0.15,121,42,41
1021,0.12,0.16,117,42,43
1022,0.12,0.16,113,42,45
1023,0.11,0.17,110,42,47
1024,0.11,0.17,109,42,49
1025,0.11,0.17,103,42,51
1026,0.11,0.18,101,42,53
1027,0.11,0.18,99,42,55
1028,0.11,0.18,96,42,57
1029,0.1,0.19,92,42,59
1030,0.1,0.19,89,42,61
1031,0.1,0.2,88,42,63
1032,0.1,0.2,86,42,65
1033,0.1,0.2,85,42,67
1034,0.1,0.21,84,42,69
1035,0.1,0.21,81,42,71
1036,0.1,0.22,79,42,73
1037,0.1,0.22,76,42,75
1038,0.1,0.23,74,42,77
1039,0.1,0.23,71,42,79
1040,0.1,0.24,69,42,81
1041,0.1,0.24,68,42,83
1042,0.1,0.25,66,42,85
1043,0.1,0.25,64,42,87
1044,0.1,0.26,58,42,89
1045,0.1,0.27,55,42,91
1046,0.1,0.27,54,42,93
1047,0.1,0.28,51,42,95
1048,0.1,0.28,46,42,97
1049,0.1,0.29,42,42,99
1050,0.3,0.01,663,44,1
1051,0.25,0.03,449,44,3
1052,0.23,0.04,343,44,5
1053,0.21,0.05,300,44,7
1054,0.2,0.06,261,44,9
1055,0.19,0.07,239,44,11
1056,0.18,0.08,220,44,13
1057,0.17,0.09,202,44,15
1058,0.17,0.09,189,44,17
1059,0.16,0.1,177,44,19
1060,0.15,0.11,171,44,21
1061,0.15,0.11,164,44,23
1062,0.15,0.12,155,44,25
1063,0.14,0.12,151,44,27
1064,0.14,0.13,146,44,29
1065,0.14,0.13,140,44,31
1066,0.13,0.14,136,44,33
1067,0.13,0.15,130,44,35
1068,0.13,0.15,126,44,37
1069,0.13,0.16,123,44,39
1070,0.12,0.16,119,44,41
1071,0.12,0.16,116,44,43
1072,0.12,0.17,115,44,45
1073,0.12,0.17,111,44,47
1074,0.11,0.17,109,44,49
1075,0.11,0.18,106,44,51
1076,0.11,0.18,104,44,53
1077,0.11,0.18,102,44,55
1078,0.11,0.19,99,44,57
1079,0.1,0.19,96,44,59
1080,0.1,0.2,92,44,61
1081,0.1,0.2,90,44,63
1082,0.1,0.2,88,44,65
1083,0.1,0.21,87,44,67
1084,0.1,0.21,86,44,69
1085,0.1,0.21,86,44,71
1086,0.1,0.22,84,44,73
1087,0.1,0.22,84,44,75
1088,0.1,0.23,83,44,77
1089,0.1,0.23,79,44,79
1090,0.1,0.24,78,44,81
1091,0.1,0.24,76,44,83
1092,0.1,0.24,73,44,85
1093,0.1,0.25,70,44,87
1094,0.1,0.26,66,44,89
1095,0.1,0.26,63,44,91
1096,0.1,0.27,59,44,93
1097,0.1,0.27,54,44,95
1098,0.1,0.28,50,44,97
1099,0.1,0.29,48,44,99
1100,0.31,0.01,651,46,1
1101,0.27,0.03,427,46,3
1102,0.24,0.04,335,46,5
1103,0.22,0.06,291,46,7
1104,0.21,0.07,253,46,9
1105,0.19,0.07,229,46,11
1106,0.18,0.08,211,46,13
1107,0.18,0.09,193,46,15
1108,0.17,0.1,181,46,17
1109,0.16,0.1,175,46,19
1110,0.16,0.11,168,46,21
1111,0.15,0.11,161,46,23
1112,0.15,0.12,158,46,25
1113,0.14,0.13,154,46,27
1114,0.14,0.13,147,46,29
1115,0.14,0.14,142,46,31
1116,0.13,0.14,138,46,33
1117,0.13,0.15,135,46,35
1118,0.13,0.15,132,46,37
1119,0.13,0.15,130,46,39
1120,0.12,0.16,125,46,41
1121,0.12,0.16,122,46,43
1122,0.12,0.17,121,46,45
1123,0.12,0.17,117,46,47
1124,0.11,0.17,114,46,49
1125,0.11,0.18,108,46,51
1126,0.11,0.18,105,46,53
1127,0.11,0.18,104,46,55
1128,0.11,0.19,102,46,57
1129,0.11,0.19,100,46,59
1130,0.1,0.2,97,46,61
1131,0.1,0.2,96,46,63
1132,0.1,0.2,93,46,65
1133,0.1,0.2,89,46,67
1134,0.1,0.21,89,46,69
1135,0.1,0.21,86,46,71
1136,0.1,0.22,86,46,73
1137,0.1,0.22,85,46,75
1138,0.1,0.22,84,46,77
1139,0.1,0.23,82,46,79
1140,0.1,0.23,81,46,81
1141,0.1,0.24,79,46,83
1142,0.1,0.24,77,46,85
1143,0.1,0.25,72,46,87
1144,0.09,0.25,71,46,89
1145,0.09,0.26,69,46,91
1146,0.09,0.26,66,46,93
1147,0.09,0.27,61,46,95
1148,0.09,0.27,59,46,97
1149,0.09,0.28,57,46,99
1150,0.31,0.01,651,48,1
1151,0.27,0.03,435,48,3
1152,0.24,0.04,343,48,5
1153,0.22,0.06,297,48,7
1154,0.21,0.06,263,48,9
1155,0.2,0.07,239,48,11
1156,0.19,0.08,212,48,13
1157,0.18,0.09,198,48,15
1158,0.17,0.09,190,48,17
1159,0.16,0.1,182,48,19
1160,0.16,0.11,177,48,21
1161,0.15,0.11,163,48,23
1162,0.15,0.12,162,48,25
1163,0.14,0.12,154,48,27
1164,0.14,0.13,148,48,29
1165,0.14,0.13,143,48,31
1166,0.13,0.14,141,48,33
1167,0.13,0.14,136,48,35
1168,0.13,0.15,130,48,37
1169,0.12,0.15,125,48,39
1170,0.12,0.16,118,48,41
1171,0.12,0.16,116,48,43
1172,0.12,0.17,114,48,45
1173,0.12,0.17,110,48,47
1174,0.11,0.17,107,48,49
1175,0.11,0.18,105,48,51
1176,0.11,0.18,104,48,53
1177,0.11,0.18,101,48,55
1178,0.11,0.19,100,48,57
1179,0.1,0.19,99,48,59
1180,0.1,0.19,97,48,61
1181,0.1,0.2,97,48,63
1182,0.1,0.2,97,48,65
1183,0.1,0.2,93,48,67
1184,0.1,0.21,89,48,69
1185,0.1,0.21,88,48,71
1186,0.1,0.21,86,48,73
1187,0.1,0.22,84,48,75
1188,0.1,0.22,81,48,77
1189,0.1,0.22,80,48,79
1190,0.09,0.23,75,48,81
1191,0.09,0.23,73,48,83
1192,0.09,0.24,71,48,85
1193,0.09,0.24,69,48,87
1194,0.09,0.25,67,48,89
1195,0.09,0.25,66,48,91
1196,0.09,0.26,64,48,93
1197,0.09,0.26,63,48,95
1198,0.09,0.27,59,48,97
1199,0.09,0.27,55,48,99
1200,0.31,0.01,650,50,1
1201,0.27,0.03,446,50,3
1202,0.24,0.05,342,50,5
1203,0.23,0.06,296,50,7
1204,0.21,0.07,262,50,9
1205,0.2,0.07,236,50,11
1206,0.19,0.08,217,50,13
1207,0.18,0.09,201,50,15
1208,0.17,0.1,192,50,17
1209,0.17,0.1,185,50,19
1210,0.16,0.11,170,50,21
1211,0.15,0.12,166,50,23
1212,0.15,0.12,154,50,25
1213,0.15,0.13,148,50,27
1214,0.14,0.13,146,50,29
1215,0.14,0.14,143,50,31
1216,0.13,0.14,136,50,33
1217,0.13,0.15,134,50,35
1218,0.13,0.15,129,50,37
1219,0.13,0.16,126,50,39
1220,0.12,0.16,122,50,41
1221,0.12,0.16,119,50,43
1222,0.12,0.17,111,50,45
1223,0.12,0.17,109,50,47
1224,0.11,0.18,107,50,49
1225,0.11,0.18,104,50,51
1226,0.11,0.18,103,50,53
1227,0.11,0.19,102,50,55
1228,0.11,0.19,98,50,57
1229,0.11,0.19,95,50,59
1230,0.1,0.2,95,50,61
1231,0.1,0.2,95,50,63
1232,0.1,0.2,95,50,65
1233,0.1,0.21,91,50,67
1234,0.1,0.21,90,50,69
1235,0.1,0.21,90,50,71
1236,0.1,0.21,88,50,73
1237,0.1,0.22,85,50,75
1238,0.1,0.22,85,50,77
1239,0.1,0.23,82,50,79
1240,0.09,0.23,79,50,81
1241,0.09,0.23,78,50,83
1242,0.09,0.24,77,50,85
1243,0.09,0.24,75,50,87
1244,0.09,0.25,68,50,89
1245,0.09,0.25,68,50,91
1246,0.09,0.26,65,50,93
1247,0.09,0.27,62,50,95
1248,0.09,0.27,62,50,97
1249,0.09,0.28,62,50,99
1250,0.3,0.01,658,52,1
1251,0.27,0.03,433,52,3
1252,0.24,0.04,350,52,5
1253,0.22,0.06,290,52,7
1254,0.21,0.07,253,52,9
1255,0.19,0.07,234,52,11
1256,0.18,0.08,222,52,13
1257,0.18,0.09,205,52,15
1258,0.17,0.1,192,52,17
1259,0.16,0.1,176,52,19
1260,0.16,0.11,168,52,21
1261,0.15,0.11,162,52,23
1262,0.15,0.12,154,52,25
1263,0.14,0.13,148,52,27
1264,0.14,0.13,142,52,29
1265,0.14,0.14,140,52,31
1266,0.13,0.14,135,52,33
1267,0.13,0.14,130,52,35
1268,0.13,0.15,127,52,37
1269,0.12,0.15,125,52,39
1270,0.12,0.16,119,52,41
1271,0.12,0.16,114,52,43
1272,0.12,0.17,113,52,45
1273,0.12,0.17,109,52,47
1274,0.11,0.17,107,52,49
1275,0.11,0.18,104,52,51
1276,0.11,0.18,102,52,53
1277,0.11,0.19,99,52,55
1278,0.11,0.19,99,52,57
1279,0.11,0.19,97,52,59
1280,0.1,0.19,97,52,61
1281,0.1,0.2,97,52,63
1282,0.1,0.2,96,52,65
1283,0.1,0.2,93,52,67
1284,0.1,0.2,93,52,69
1285,0.1,0.21,92,52,71
1286,0.1,0.21,92,52,73
1287,0.09,0.21,89,52,75
1288,0.09,0.22,84,52,77
1289,0.09,0.22,83,52,79
1290,0.09,0.23,80,52,81
1291,0.09,0.23,79,52,83
1292,0.09,0.23,76,52,85
1293,0.09,0.24,75,52,87
1294,0.09,0.24,74,52,89
1295,0.09,0.25,71,52,91
1296,0.09,0.25,69,52,93
1297,0.09,0.26,66,52,95
1298,0.09,0.26,64,52,97
1299,0.09,0.27,63,52,99
1300,0.28,0.01,677,54,1
1301,0.27,0.03,449,54,3
1302,0.24,0.04,359,54,5
1303,0.22,0.06,302,54,7
1304,0.2,0.06,263,54,9
1305,0.19,0.07,240,54,11
1306,0.19,0.08,220,54,13
1307,0.18,0.09,206,54,15
1308,0.17,0.1,188,54,17
1309,0.16,0.1,178,54,19
1310,0.16,0.11,169,54,21
1311,0.15,0.11,166,54,23
1312,0.15,0.12,158,54,25
1313,0.14,0.13,145,54,27
1314,0.14,0.13,140,54,29
1315,0.14,0.14,136,54,31
1316,0.13,0.14,134,54,33
1317,0.13,0.15,130,54,35
1318,0.13,0.15,127,54,37
1319,0.12,0.15,126,54,39
1320,0.12,0.16,120,54,41
1321,0.12,0.16,117,54,43
1322,0.12,0.17,113,54,45
1323,0.12,0.17,111,54,47
1324,0.11,0.17,110,54,49
1325,0.11,0.18,107,54,51
1326,0.11,0.18,107,54,53
1327,0.11,0.18,105,54,55
1328,0.11,0.19,102,54,57
1329,0.1,0.19,98,54,59
1330,0.1,0.19,98,54,61
1331,0.1,0.2,97,54,63
1332,0.1,0.2,95,54,65
1333,0.1,0.2,92,54,67
1334,0.1,0.21,92,54,69
1335,0.1,0.21,91,54,71
1336,0.1,0.21,90,54,73
1337,0.09,0.21,90,54,75
1338,0.09,0.22,88,54,77
1339,0.09,0.22,86,54,79
1340,0.09,0.23,84,54,81
1341,0.09,0.23,82,54,83
1342,0.09,0.23,82,54,85
1343,0.09,0.24,80,54,87
1344,0.09,0.24,79,54,89
1345,0.09,0.24,77,54,91
1346,0.09,0.25,74,54,93
1347,0.09,0.25,72,54,95
1348,0.09,0.26,72,54,97
1349,0.09,0.26,71,54,99
1350,0.3,0.01,662,56,1
1351,0.26,0.03,454,56,3
1352,0.24,0.04,366,56,5
1353,0.21,0.05,314,56,7
1354,0.2,0.06,269,56,9
1355,0.2,0.07,240,56,11
1356,0.19,0.08,222,56,13
1357,0.18,0.09,198,56,15
1358,0.17,0.1,182,56,17
1359,0.17,0.1,174,56,19
1360,0.16,0.11,169,56,21
1361,0.15,0.11,160,56,23
1362,0.15,0.12,154,56,25
1363,0.15,0.12,147,56,27
1364,0.14,0.13,141,56,29
1365,0.14,0.14,136,56,31
1366,0.14,0.14,131,56,33
1367,0.13,0.14,127,56,35
1368,0.13,0.15,124,56,37
1369,0.13,0.15,121,56,39
1370,0.12,0.16,121,56,41
1371,0.12,0.16,117,56,43
1372,0.12,0.17,111,56,45
1373,0.12,0.17,108,56,47
1374,0.11,0.17,105,56,49
1375,0.11,0.18,103,56,51
1376,0.11,0.18,99,56,53
1377,0.11,0.18,98,56,55
1378,0.11,0.19,95,56,57
1379,0.11,0.19,92,56,59
1380,0.1,0.19,91,56,61
1381,0.1,0.2,90,56,63
1382,0.1,0.2,85,56,65
1383,0.1,0.2,84,56,67
1384,0.1,0.21,84,56,69
1385,0.1,0.21,83,56,71
1386,0.1,0.21,82,56,73
1387,0.1,0.21,82,56,75
1388,0.09,0.22,81,56,77
1389,0.09,0.22,79,56,79
1390,0.09,0.22,78,56,81
1391,0.09,0.23,78,56,83
1392,0.09,0.23,78,56,85
1393,0.09,0.23,75,56,87
1394,0.09,0.24,71,56,89
1395,0.09,0.24,69,56,91
1396,0.09,0.25,65,56,93
1397,0.09,0.25,62,56,95
1398,0.09,0.26,61,56,97
1399,0.09,0.26,59,56,99
1400,0.3,0.01,661,58,1
1401,0.27,0.03,454,58,3
1402,0.24,0.04,355,58,5
1403,0.22,0.05,306,58,7
1404,0.21,0.06,264,58,9
1405,0.2,0.07,230,58,11
1406,0.19,0.08,218,58,13
1407,0.18,0.09,202,58,15
1408,0.17,0.1,192,58,17
1409,0.17,0.1,185,58,19
1410,0.16,0.11,171,58,21
1411,0.16,0.11,165,58,23
1412,0.15,0.12,160,58,25
1413,0.15,0.13,153,58,27
1414,0.14,0.13,147,58,29
1415,0.14,0.14,140,58,31
1416,0.14,0.14,137,58,33
1417,0.13,0.15,134,58,35
1418,0.13,0.15,131,58,37
1419,0.13,0.15,130,58,39
1420,0.12,0.16,123,58,41
1421,0.12,0.16,119,58,43
1422,0.12,0.17,114,58,45
1423,0.12,0.17,110,58,47
1424,0.12,0.18,108,58,49
1425,0.11,0.18,106,58,51
1426,0.11,0.18,100,58,53
1427,0.11,0.19,99,58,55
1428,0.11,0.19,98,58,57
1429,0.11,0.19,94,58,59
1430,0.1,0.2,93,58,61
1431,0.1,0.2,91,58,63
1432,0.1,0.2,90,58,65
1433,0.1,0.21,84,58,67
1434,0.1,0.21,83,58,69
1435,0.1,0.21,81,58,71
1436,0.1,0.21,79,58,73
1437,0.1,0.22,78,58,75
1438,0.09,0.22,75,58,77
1439,0.09,0.22,75,58,79
1440,0.09,0.23,73,58,81
1441,0.09,0.23,71,58,83
1442,0.09,0.23,69,58,85
1443,0.09,0.24,67,58,87
1444,0.09,0.24,67,58,89
1445,0.09,0.25,66,58,91
1446,0.09,0.25,65,58,93
1447,0.09,0.25,62,58,95
1448,0.09,0.26,61,58,97
1449,0.09,0.26,61,58,99
1450,0.3,0.01,660,60,1
1451,0.27,0.03,440,60,3
1452,0.24,0.05,349,60,5
1453,0.23,0.06,289,60,7
1454,0.21,0.07,255,60,9
1455,0.2,0.07,229,60,11
1456,0.19,0.08,211,60,13
1457,0.18,0.09,197,60,15
1458,0.17,0.1,186,60,17
1459,0.17,0.1,176,60,19
1460,0.16,0.11,164,60,21
1461,0.16,0.12,159,60,23
1462,0.15,0.12,157,60,25
1463,0.15,0.13,152,60,27
1464,0.14,0.13,147,60,29
1465,0.14,0.14,143,60,31
1466,0.14,0.14,138,60,33
1467,0.13,0.15,133,60,35
1468,0.13,0.15,130,60,37
1469,0.13,0.16,129,60,39
1470,0.12,0.16,123,60,41
1471,0.12,0.16,119,60,43
1472,0.12,0.17,116,60,45
1473,0.12,0.17,111,60,47
1474,0.12,0.18,106,60,49
1475,0.11,0.18,104,60,51
1476,0.11,0.18,100,60,53
1477,0.11,0.19,98,60,55
1478,0.11,0.19,97,60,57
1479,0.11,0.19,95,60,59
1480,0.1,0.2,93,60,61
1481,0.1,0.2,90,60,63
1482,0.1,0.2,87,60,65
1483,0.1,0.21,85,60,67
1484,0.1,0.21,82,60,69
1485,0.1,0.21,79,60,71
1486,0.1,0.21,78,60,73
1487,0.09,0.22,77,60,75
1488,0.09,0.22,75,60,77
1489,0.09,0.22,73,60,79
1490,0.09,0.23,73,60,81
1491,0.09,0.23,72,60,83
1492,0.09,0.23,70,60,85
1493,0.09,0.24,67,60,87
1494,0.09,0.24,67,60,89
1495,0.09,0.24,65,60,91
1496,0.09,0.25,64,60,93
1497,0.09,0.25,64,60,95
1498,0.09,0.26,62,60,97
1499,0.09,0.26,60,60,99
1500,0.3,0.01,659,62,1
1501,0.27,0.03,445,62,3
1502,0.24,0.04,355,62,5
1503,0.22,0.05,300,62,7
1504,0.21,0.06,269,62,9
1505,0.2,0.07,243,62,11
1506,0.19,0.08,224,62,13
1507,0.18,0.09,209,62,15
1508,0.17,0.09,198,62,17
1509,0.17,0.1,189,62,19
1510,0.16,0.11,179,62,21
1511,0.16,0.11,168,62,23
1512,0.15,0.12,163,62,25
1513,0.15,0.13,153,62,27
1514,0.14,0.13,149,62,29
1515,0.14,0.14,147,62,31
1516,0.14,0.14,137,62,33
1517,0.13,0.15,134,62,35
1518,0.13,0.15,128,62,37
1519,0.13,0.15,125,62,39
1520,0.12,0.16,120,62,41
1521,0.12,0.16,117,62,43
1522,0.12,0.17,115,62,45
1523,0.12,0.17,111,62,47
1524,0.11,0.17,105,62,49
1525,0.11,0.18,102,62,51
1526,0.11,0.18,99,62,53
1527,0.11,0.19,96,62,55
1528,0.11,0.19,95,62,57
1529,0.11,0.19,94,62,59
1530,0.1,0.19,92,62,61
1531,0.1,0.2,90,62,63
1532,0.1,0.2,88,62,65
1533,0.1,0.2,86,62,67
1534,0.1,0.21,85,62,69
1535,0.1,0.21,83,62,71
1536,0.1,0.21,80,62,73
1537,0.09,0.22,77,62,75
1538,0.09,0.22,76,62,77
1539,0.09,0.22,73,62,79
1540,0.09,0.23,72,62,81
1541,0.09,0.23,72,62,83
1542,0.09,0.23,70,62,85
1543,0.09,0.23,69,62,87
1544,0.09,0.24,68,62,89
1545,0.09,0.24,66,62,91
1546,0.09,0.24,66,62,93
1547,0.09,0.25,66,62,95
1548,0.09,0.25,66,62,97
1549,0.09,0.26,64,62,99
1550,0.3,0.01,662,64,1
1551,0.26,0.03,443,64,3
1552,0.24,0.04,362,64,5
1553,0.22,0.05,310,64,7
1554,0.21,0.06,258,64,9
1555,0.2,0.07,244,64,11
1556,0.19,0.08,228,64,13
1557,0.18,0.09,213,64,15
1558,0.17,0.09,194,64,17
1559,0.17,0.1,187,64,19
1560,0.16,0.11,180,64,21
1561,0.16,0.11,172,64,23
1562,0.15,0.12,169,64,25
1563,0.15,0.12,163,64,27
1564,0.14,0.13,158,64,29
1565,0.14,0.13,154,64,31
1566,0.14,0.14,151,64,33
1567,0.13,0.14,140,64,35
1568,0.13,0.15,138,64,37
1569,0.13,0.15,135,64,39
1570,0.12,0.16,131,64,41
1571,0.12,0.16,128,64,43
1572,0.12,0.17,124,64,45
1573,0.12,0.17,122,64,47
1574,0.11,0.17,120,64,49
1575,0.11,0.18,114,64,51
1576,0.11,0.18,114,64,53
1577,0.11,0.18,109,64,55
1578,0.11,0.19,107,64,57
1579,0.11,0.19,105,64,59
1580,0.1,0.19,100,64,61
1581,0.1,0.2,99,64,63
1582,0.1,0.2,96,64,65
1583,0.1,0.2,93,64,67
1584,0.1,0.2,93,64,69
1585,0.1,0.21,92,64,71
1586,0.1,0.21,90,64,73
1587,0.09,0.21,85,64,75
1588,0.09,0.22,85,64,77
1589,0.09,0.22,82,64,79
1590,0.09,0.22,81,64,81
1591,0.09,0.23,81,64,83
1592,0.09,0.23,81,64,85
1593,0.09,0.23,79,64,87
1594,0.09,0.23,78,64,89
1595,0.09,0.24,76,64,91
1596,0.09,0.24,74,64,93
1597,0.09,0.24,73,64,95
1598,0.09,0.25,71,64,97
1599,0.09,0.25,70,64,99
1600,0.3,0.01,661,66,1
1601,0.27,0.03,439,66,3
1602,0.24,0.04,353,66,5
1603,0.22,0.05,293,66,7
1604,0.21,0.06,267,66,9
1605,0.19,0.07,245,66,11
1606,0.19,0.08,231,66,13
1607,0.18,0.09,216,66,15
1608,0.17,0.09,202,66,17
1609,0.17,0.1,193,66,19
1610,0.16,0.11,185,66,21
1611,0.16,0.11,182,66,23
1612,0.15,0.12,174,66,25
1613,0.15,0.12,169,66,27
1614,0.14,0.13,157,66,29
1615,0.14,0.13,148,66,31
1616,0.14,0.14,142,66,33
1617,0.13,0.14,135,66,35
1618,0.13,0.15,131,66,37
1619,0.13,0.15,127,66,39
1620,0.13,0.16,123,66,41
1621,0.12,0.16,119,66,43
1622,0.12,0.17,117,66,45
1623,0.12,0.17,113,66,47
1624,0.12,0.17,111,66,49
1625,0.11,0.18,107,66,51
1626,0.11,0.18,105,66,53
1627,0.11,0.18,103,66,55
1628,0.11,0.19,102,66,57
1629,0.11,0.19,98,66,59
1630,0.1,0.19,92,66,61
1631,0.1,0.2,89,66,63
1632,0.1,0.2,87,66,65
1633,0.1,0.2,86,66,67
1634,0.1,0.21,86,66,69
1635,0.1,0.21,85,66,71
1636,0.09,0.21,82,66,73
1637,0.09,0.21,82,66,75
1638,0.09,0.22,79,66,77
1639,0.09,0.22,78,66,79
1640,0.09,0.22,77,66,81
1641,0.09,0.23,77,66,83
1642,0.09,0.23,77,66,85
1643,0.09,0.23,74,66,87
1644,0.09,0.23,74,66,89
1645,0.09,0.24,71,66,91
1646,0.09,0.24,70,66,93
1647,0.09,0.25,69,66,95
1648,0.09,0.25,69,66,97
1649,0.09,0.25,68,66,99
1650,0.31,0.01,654,68,1
1651,0.27,0.03,426,68,3
1652,0.25,0.04,333,68,5
1653,0.22,0.05,291,68,7
1654,0.21,0.06,261,68,9
1655,0.2,0.07,239,68,11
1656,0.19,0.08,220,68,13
1657,0.18,0.09,205,68,15
1658,0.17,0.1,192,68,17
1659,0.17,0.1,183,68,19
1660,0.16,0.11,177,68,21
1661,0.16,0.12,170,68,23
1662,0.15,0.12,166,68,25
1663,0.15,0.13,161,68,27
1664,0.15,0.13,150,68,29
1665,0.14,0.14,145,68,31
1666,0.14,0.14,136,68,33
1667,0.13,0.15,128,68,35
1668,0.13,0.15,125,68,37
1669,0.13,0.16,119,68,39
1670,0.13,0.16,111,68,41
1671,0.12,0.17,108,68,43
1672,0.12,0.17,108,68,45
1673,0.12,0.17,107,68,47
1674,0.12,0.18,103,68,49
1675,0.12,0.18,99,68,51
1676,0.11,0.19,98,68,53
1677,0.11,0.19,94,68,55
1678,0.11,0.19,93,68,57
1679,0.11,0.19,90,68,59
1680,0.11,0.2,87,68,61
1681,0.1,0.2,81,68,63
1682,0.1,0.21,79,68,65
1683,0.1,0.21,79,68,67
1684,0.1,0.21,77,68,69
1685,0.1,0.21,77,68,71
1686,0.1,0.22,75,68,73
1687,0.09,0.22,71,68,75
1688,0.09,0.22,71,68,77
1689,0.09,0.22,71,68,79
1690,0.09,0.23,70,68,81
